text,category,is_scam,urgency_score,threat_level
Chase Security: Unusual login from United States. Confirm your identity now at http://secure-verify-auth2.xyz to prevent account freeze.,Banking Phishing,1,0.835,HIGH
"WINNER! You have won the Singapore Mega Millions International Draw of $13,000,000! Call +1-647-428-9064 immediately with code WIN4176 to claim.",Lottery / Prize Fraud,1,0.792,CRITICAL
Google Calendar: Standup meeting starts in 10 minutes (10:00 AM - 10:15 AM).,Legitimate Calendar,0,0.333,LOW
"Hey, are we still meeting for lunch at the cafeteria around 1:00 PM today?",Legitimate Personal,0,0.209,LOW
Your order #ORD-321548 has been shipped via FedEx. Expected delivery is Friday by 5:00 PM. Track at official app.,Legitimate E-commerce,0,0.167,LOW
IRS / Tax Notice: A federal warrant is issued for tax evasion. Call +1-998-932-7889 immediately or law enforcement will be dispatched.,Impersonation / Extortion,1,0.902,CRITICAL
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 3802.,Legitimate Work,0,0.181,LOW
"ALERT: An unauthorized transaction of $3229 was attempted on your account. If this was not you, cancel it now at https://login-update-online-service.top.",Banking Phishing,1,0.878,HIGH
Google Calendar: Standup meeting starts in 10 minutes (10:00 AM - 10:15 AM).,Legitimate Calendar,0,0.165,LOW
"Invest $200 today and receive $3,500 daily guaranteed passive income! Contact our VIP forex manager on Telegram @CryptoProf_976.",Crypto Investment Scam,1,0.914,HIGH
"Dear Customer, Your debit card ending in 6653 is locked. Click http://kyc-urgent-support.info to update KYC within 24 hours.",Banking Phishing,1,0.815,CRITICAL
"Reminder: Your dentist appointment with Dr. Smith is scheduled for tomorrow at 2:30 PM. Reply 1 to confirm, 2 to reschedule.",Legitimate Service,0,0.053,LOW
"Reminder: Your dentist appointment with Dr. Smith is scheduled for tomorrow at 2:30 PM. Reply 1 to confirm, 2 to reschedule.",Legitimate Service,0,0.212,LOW
Your monthly bank statement for account ending in 9933 is now ready to view in the official mobile banking app.,Legitimate Banking,0,0.108,LOW
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.212,LOW
Thanks for reaching out to customer support. Your ticket #72395 has been resolved. Please rate our service.,Legitimate Support,0,0.313,LOW
This is the Chief Financial Officer. I am in an urgent meeting and need you to purchase 5x $100 Apple Gift Cards and email the codes.,Executive Impersonation,1,0.938,HIGH
Here is the updated recipe for the chocolate cake we discussed last weekend. Let me know if you need vanilla extract.,Legitimate Personal,0,0.329,LOW
URGENT: Your Barclays account has been suspended due to suspicious activity. Verify immediately at https://login-update-online-service.top to avoid permanent deactivation.,Banking Phishing,1,0.935,HIGH
"Hey, are we still meeting for lunch at the cafeteria around 1:00 PM today?",Legitimate Personal,0,0.246,LOW
Package Delivery Failed: USPS tracking #US50685316P is held at terminal due to unpaid duty fees of $2.30. Pay at https://bank-security-center.ru.,Delivery Phishing,1,0.984,CRITICAL
Google Calendar: Standup meeting starts in 10 minutes (10:00 AM - 10:15 AM).,Legitimate Calendar,0,0.139,LOW
"Reminder: Your dentist appointment with Dr. Smith is scheduled for tomorrow at 2:30 PM. Reply 1 to confirm, 2 to reschedule.",Legitimate Service,0,0.305,LOW
Thanks for reaching out to customer support. Your ticket #96398 has been resolved. Please rate our service.,Legitimate Support,0,0.18,LOW
"Dear Customer, Your debit card ending in 4247 is locked. Click http://secure-verify-auth2.xyz to update KYC within 24 hours.",Banking Phishing,1,0.986,HIGH
Chase Security: Unusual login from Nigeria. Confirm your identity now at http://secure-verify-auth2.xyz to prevent account freeze.,Banking Phishing,1,0.765,CRITICAL
Package Delivery Failed: USPS tracking #US51630047P is held at terminal due to unpaid duty fees of $2.30. Pay at http://kyc-urgent-support.info.,Delivery Phishing,1,0.947,CRITICAL
Thanks for reaching out to customer support. Your ticket #81503 has been resolved. Please rate our service.,Legitimate Support,0,0.072,LOW
"Hi team, please find the quarterly performance slide deck attached for tomorrow's review meeting.",Legitimate Business,0,0.167,LOW
Thanks for reaching out to customer support. Your ticket #61975 has been resolved. Please rate our service.,Legitimate Support,0,0.136,LOW
Here is the updated recipe for the chocolate cake we discussed last weekend. Let me know if you need vanilla extract.,Legitimate Personal,0,0.146,LOW
"Walmart Reward: You have a pending voucher worth $1,000. Complete this short survey at https://login-update-online-service.top before expiration.",Lottery / Prize Fraud,1,0.777,HIGH
Your order #ORD-178703 has been shipped via FedEx. Expected delivery is Friday by 5:00 PM. Track at official app.,Legitimate E-commerce,0,0.151,LOW
Immediate hiring for Amazon Product Reviewer. Daily payout $500. Message Telegram @CryptoProf_625 for instant onboarding.,Fake Job Offer,1,0.866,CRITICAL
Part-time Online Job Offer: Earn $300-$800 daily by rating hotels/apps on your phone for 1 hour. No experience required. WhatsApp: +1-705-763-4812,Fake Job Offer,1,0.848,CRITICAL
This is the Chief Financial Officer. I am in an urgent meeting and need you to purchase 5x $100 Apple Gift Cards and email the codes.,Executive Impersonation,1,0.898,CRITICAL
Thanks for reaching out to customer support. Your ticket #93921 has been resolved. Please rate our service.,Legitimate Support,0,0.27,LOW
Amazon Notification: Your mobile number was selected for an iPhone 15 Pro giveaway. Claim within 10 minutes at http://secure-verify-auth2.xyz.,Lottery / Prize Fraud,1,0.878,HIGH
"ALERT: An unauthorized transaction of $1875 was attempted on your account. If this was not you, cancel it now at http://claim-crypto-giveaway.net.",Banking Phishing,1,0.78,HIGH
Your order #ORD-107995 has been shipped via FedEx. Expected delivery is Friday by 5:00 PM. Track at official app.,Legitimate E-commerce,0,0.167,LOW
"Congratulations! You've been whitelisted for the Exclusive Ethereum Airdrop. Claim your free $5,000 token grant at http://claim-crypto-giveaway.net.",Crypto Investment Scam,1,0.863,CRITICAL
Thanks for reaching out to customer support. Your ticket #32100 has been resolved. Please rate our service.,Legitimate Support,0,0.237,LOW
Google Calendar: Standup meeting starts in 10 minutes (10:00 AM - 10:15 AM).,Legitimate Calendar,0,0.327,LOW
Immediate hiring for Amazon Product Reviewer. Daily payout $500. Message Telegram @CryptoProf_193 for instant onboarding.,Fake Job Offer,1,0.86,HIGH
"Dear Customer, Your debit card ending in 1063 is locked. Click http://usps-delivery-portal.cc to update KYC within 24 hours.",Banking Phishing,1,0.939,HIGH
"Congratulations! You've been whitelisted for the Exclusive Bitcoin Airdrop. Claim your free $5,000 token grant at http://kyc-urgent-support.info.",Crypto Investment Scam,1,0.983,HIGH
Netflix Member Alert: We could not process your latest payment. Update billing details at http://kyc-urgent-support.info to avoid service cancellation.,Subscription Phishing,1,0.856,HIGH
Guaranteed 450% return in 48 hours! Join our automated crypto arbitrage pool today. Send 0.69 ETH to 0x210aaa9 and start earning.,Crypto Investment Scam,1,0.984,HIGH
Tesla & Elon Musk 100M Crypto Giveaway! Send 0.1 BTC to receive 0.5 BTC back immediately: http://claim-crypto-giveaway.net,Crypto Investment Scam,1,0.971,CRITICAL
"WINNER! You have won the United Kingdom Mega Millions International Draw of $4,000,000! Call +1-751-266-9705 immediately with code WIN9006 to claim.",Lottery / Prize Fraud,1,0.89,HIGH
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 7132.,Legitimate Work,0,0.256,LOW
Thanks for reaching out to customer support. Your ticket #58005 has been resolved. Please rate our service.,Legitimate Support,0,0.087,LOW
Amazon Notification: Your mobile number was selected for an iPhone 15 Pro giveaway. Claim within 10 minutes at http://kyc-urgent-support.info.,Lottery / Prize Fraud,1,0.847,HIGH
Your verification code for Microsoft is 734719. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.101,LOW
Netflix Member Alert: We could not process your latest payment. Update billing details at https://login-update-online-service.top to avoid service cancellation.,Subscription Phishing,1,0.966,HIGH
"Congratulations! You've been whitelisted for the Exclusive Bitcoin Airdrop. Claim your free $5,000 token grant at https://bank-security-center.ru.",Crypto Investment Scam,1,0.97,HIGH
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 3598.,Legitimate Work,0,0.322,LOW
URGENT: Your Capital One account has been suspended due to suspicious activity. Verify immediately at http://kyc-urgent-support.info to avoid permanent deactivation.,Banking Phishing,1,0.807,CRITICAL
Here is the updated recipe for the chocolate cake we discussed last weekend. Let me know if you need vanilla extract.,Legitimate Personal,0,0.156,LOW
"Dear Customer, Your debit card ending in 1511 is locked. Click https://login-update-online-service.top to update KYC within 24 hours.",Banking Phishing,1,0.937,HIGH
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.267,LOW
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.229,LOW
"Invest $200 today and receive $3,500 daily guaranteed passive income! Contact our VIP forex manager on Telegram @CryptoProf_702.",Crypto Investment Scam,1,0.847,CRITICAL
GitHub: A new security advisory was published for your repository. Check security tab for details.,Legitimate Notification,0,0.299,LOW
Here is the updated recipe for the chocolate cake we discussed last weekend. Let me know if you need vanilla extract.,Legitimate Personal,0,0.317,LOW
HR Global Recruiter: You have been shortlisted for Remote Data Entry role paying $65/hr. Pay registration fee $49 at https://bank-security-center.ru to get started.,Fake Job Offer,1,0.795,CRITICAL
State Bank Security: Unusual login from Nigeria. Confirm your identity now at https://login-update-online-service.top to prevent account freeze.,Banking Phishing,1,0.836,HIGH
"Hi team, please find the quarterly performance slide deck attached for tomorrow's review meeting.",Legitimate Business,0,0.149,LOW
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.137,LOW
"Dear Customer, Your debit card ending in 7805 is locked. Click https://login-update-online-service.top to update KYC within 24 hours.",Banking Phishing,1,0.842,CRITICAL
"WINNER! You have won the Singapore Mega Millions International Draw of $3,000,000! Call +1-523-455-2917 immediately with code WIN3281 to claim.",Lottery / Prize Fraud,1,0.863,CRITICAL
"ALERT: An unauthorized transaction of $6827 was attempted on your account. If this was not you, cancel it now at http://usps-delivery-portal.cc.",Banking Phishing,1,0.778,HIGH
Google Calendar: Standup meeting starts in 10 minutes (10:00 AM - 10:15 AM).,Legitimate Calendar,0,0.277,LOW
"ALERT: An unauthorized transaction of $5622 was attempted on your account. If this was not you, cancel it now at https://bank-security-center.ru.",Banking Phishing,1,0.793,CRITICAL
Your verification code for Apple ID is 863755. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.324,LOW
Tesla & Elon Musk 100M Crypto Giveaway! Send 0.1 BTC to receive 0.5 BTC back immediately: http://usps-delivery-portal.cc,Crypto Investment Scam,1,0.87,HIGH
Tesla & Elon Musk 100M Crypto Giveaway! Send 0.1 BTC to receive 0.5 BTC back immediately: http://kyc-urgent-support.info,Crypto Investment Scam,1,0.96,CRITICAL
Immediate hiring for Amazon Product Reviewer. Daily payout $500. Message Telegram @CryptoProf_277 for instant onboarding.,Fake Job Offer,1,0.931,CRITICAL
"Walmart Reward: You have a pending voucher worth $1,000. Complete this short survey at http://kyc-urgent-support.info before expiration.",Lottery / Prize Fraud,1,0.903,CRITICAL
HR Global Recruiter: You have been shortlisted for Remote Data Entry role paying $65/hr. Pay registration fee $49 at https://bank-security-center.ru to get started.,Fake Job Offer,1,0.962,HIGH
"Hi team, please find the quarterly performance slide deck attached for tomorrow's review meeting.",Legitimate Business,0,0.058,LOW
"Reminder: Your dentist appointment with Dr. Smith is scheduled for tomorrow at 2:30 PM. Reply 1 to confirm, 2 to reschedule.",Legitimate Service,0,0.102,LOW
"Congratulations! You've been whitelisted for the Exclusive Solana Airdrop. Claim your free $5,000 token grant at https://bank-security-center.ru.",Crypto Investment Scam,1,0.978,HIGH
Here is the updated recipe for the chocolate cake we discussed last weekend. Let me know if you need vanilla extract.,Legitimate Personal,0,0.079,LOW
"Walmart Reward: You have a pending voucher worth $1,000. Complete this short survey at https://login-update-online-service.top before expiration.",Lottery / Prize Fraud,1,0.933,CRITICAL
HR Global Recruiter: You have been shortlisted for Remote Data Entry role paying $65/hr. Pay registration fee $49 at http://usps-delivery-portal.cc to get started.,Fake Job Offer,1,0.833,HIGH
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.088,LOW
GitHub: A new security advisory was published for your repository. Check security tab for details.,Legitimate Notification,0,0.197,LOW
"ALERT: An unauthorized transaction of $2800 was attempted on your account. If this was not you, cancel it now at https://bank-security-center.ru.",Banking Phishing,1,0.814,HIGH
"ALERT: An unauthorized transaction of $1147 was attempted on your account. If this was not you, cancel it now at http://secure-verify-auth2.xyz.",Banking Phishing,1,0.834,CRITICAL
IRS / Tax Notice: A federal warrant is issued for tax evasion. Call +1-790-212-7713 immediately or law enforcement will be dispatched.,Impersonation / Extortion,1,0.833,HIGH
Your verification code for PayPal is 387887. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.142,LOW
Google Calendar: Standup meeting starts in 10 minutes (10:00 AM - 10:15 AM).,Legitimate Calendar,0,0.281,LOW
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 7466.,Legitimate Work,0,0.315,LOW
Package Delivery Failed: USPS tracking #US72440450P is held at terminal due to unpaid duty fees of $2.30. Pay at http://claim-crypto-giveaway.net.,Delivery Phishing,1,0.979,CRITICAL
"Hey, are we still meeting for lunch at the cafeteria around 1:00 PM today?",Legitimate Personal,0,0.158,LOW
GitHub: A new security advisory was published for your repository. Check security tab for details.,Legitimate Notification,0,0.157,LOW
"Hi team, please find the quarterly performance slide deck attached for tomorrow's review meeting.",Legitimate Business,0,0.227,LOW
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 7518.,Legitimate Work,0,0.201,LOW
Package Delivery Failed: USPS tracking #US54984690P is held at terminal due to unpaid duty fees of $2.30. Pay at http://claim-crypto-giveaway.net.,Delivery Phishing,1,0.873,HIGH
"Dear Customer, Your debit card ending in 1947 is locked. Click https://login-update-online-service.top to update KYC within 24 hours.",Banking Phishing,1,0.784,HIGH
HR Global Recruiter: You have been shortlisted for Remote Data Entry role paying $65/hr. Pay registration fee $49 at http://secure-verify-auth2.xyz to get started.,Fake Job Offer,1,0.975,CRITICAL
Your order #ORD-288626 has been shipped via FedEx. Expected delivery is Friday by 5:00 PM. Track at official app.,Legitimate E-commerce,0,0.198,LOW
"Dear Customer, Your debit card ending in 2738 is locked. Click http://secure-verify-auth2.xyz to update KYC within 24 hours.",Banking Phishing,1,0.875,HIGH
"Invest $200 today and receive $3,500 daily guaranteed passive income! Contact our VIP forex manager on Telegram @CryptoProf_914.",Crypto Investment Scam,1,0.777,CRITICAL
Your verification code for Uber is 884020. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.189,LOW
"ALERT: An unauthorized transaction of $6798 was attempted on your account. If this was not you, cancel it now at http://secure-verify-auth2.xyz.",Banking Phishing,1,0.826,CRITICAL
URGENT: Your Bank of America account has been suspended due to suspicious activity. Verify immediately at https://bank-security-center.ru to avoid permanent deactivation.,Banking Phishing,1,0.78,CRITICAL
Here is the updated recipe for the chocolate cake we discussed last weekend. Let me know if you need vanilla extract.,Legitimate Personal,0,0.052,LOW
"ALERT: An unauthorized transaction of $3655 was attempted on your account. If this was not you, cancel it now at http://usps-delivery-portal.cc.",Banking Phishing,1,0.822,HIGH
Amazon Notification: Your mobile number was selected for an iPhone 15 Pro giveaway. Claim within 10 minutes at https://login-update-online-service.top.,Lottery / Prize Fraud,1,0.884,CRITICAL
"Hi team, please find the quarterly performance slide deck attached for tomorrow's review meeting.",Legitimate Business,0,0.235,LOW
Amazon Notification: Your mobile number was selected for an iPhone 15 Pro giveaway. Claim within 10 minutes at http://usps-delivery-portal.cc.,Lottery / Prize Fraud,1,0.793,CRITICAL
Amazon Notification: Your mobile number was selected for an iPhone 15 Pro giveaway. Claim within 10 minutes at https://bank-security-center.ru.,Lottery / Prize Fraud,1,0.965,CRITICAL
State Bank Security: Unusual login from Germany. Confirm your identity now at http://kyc-urgent-support.info to prevent account freeze.,Banking Phishing,1,0.969,HIGH
"Hi team, please find the quarterly performance slide deck attached for tomorrow's review meeting.",Legitimate Business,0,0.095,LOW
Your verification code for Google is 484221. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.166,LOW
Here is the updated recipe for the chocolate cake we discussed last weekend. Let me know if you need vanilla extract.,Legitimate Personal,0,0.068,LOW
Your verification code for Google is 800504. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.289,LOW
"Hi team, please find the quarterly performance slide deck attached for tomorrow's review meeting.",Legitimate Business,0,0.317,LOW
"Hi team, please find the quarterly performance slide deck attached for tomorrow's review meeting.",Legitimate Business,0,0.117,LOW
"ALERT: An unauthorized transaction of $7462 was attempted on your account. If this was not you, cancel it now at https://bank-security-center.ru.",Banking Phishing,1,0.782,HIGH
Your verification code for Instagram is 645603. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.299,LOW
Package Delivery Failed: USPS tracking #US85128473P is held at terminal due to unpaid duty fees of $2.30. Pay at https://login-update-online-service.top.,Delivery Phishing,1,0.837,CRITICAL
"Hi team, please find the quarterly performance slide deck attached for tomorrow's review meeting.",Legitimate Business,0,0.058,LOW
URGENT: Your Capital One account has been suspended due to suspicious activity. Verify immediately at http://usps-delivery-portal.cc to avoid permanent deactivation.,Banking Phishing,1,0.94,HIGH
IRS / Tax Notice: A federal warrant is issued for tax evasion. Call +1-933-378-4404 immediately or law enforcement will be dispatched.,Impersonation / Extortion,1,0.846,CRITICAL
IRS / Tax Notice: A federal warrant is issued for tax evasion. Call +1-566-744-6582 immediately or law enforcement will be dispatched.,Impersonation / Extortion,1,0.777,HIGH
Here is the updated recipe for the chocolate cake we discussed last weekend. Let me know if you need vanilla extract.,Legitimate Personal,0,0.278,LOW
Your monthly bank statement for account ending in 6865 is now ready to view in the official mobile banking app.,Legitimate Banking,0,0.335,LOW
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 5046.,Legitimate Work,0,0.35,LOW
Your monthly bank statement for account ending in 4952 is now ready to view in the official mobile banking app.,Legitimate Banking,0,0.166,LOW
This is the Chief Financial Officer. I am in an urgent meeting and need you to purchase 5x $100 Apple Gift Cards and email the codes.,Executive Impersonation,1,0.878,CRITICAL
Bank of America Security: Unusual login from United States. Confirm your identity now at http://kyc-urgent-support.info to prevent account freeze.,Banking Phishing,1,0.899,HIGH
HR Global Recruiter: You have been shortlisted for Remote Data Entry role paying $65/hr. Pay registration fee $49 at https://login-update-online-service.top to get started.,Fake Job Offer,1,0.985,HIGH
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.09,LOW
Your order #ORD-844996 has been shipped via FedEx. Expected delivery is Friday by 5:00 PM. Track at official app.,Legitimate E-commerce,0,0.076,LOW
Your verification code for Uber is 886411. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.3,LOW
Netflix Member Alert: We could not process your latest payment. Update billing details at https://login-update-online-service.top to avoid service cancellation.,Subscription Phishing,1,0.918,HIGH
HSBC Security: Unusual login from Nigeria. Confirm your identity now at http://claim-crypto-giveaway.net to prevent account freeze.,Banking Phishing,1,0.976,HIGH
"Hey, are we still meeting for lunch at the cafeteria around 1:00 PM today?",Legitimate Personal,0,0.059,LOW
"WINNER! You have won the Russia Mega Millions International Draw of $15,000,000! Call +1-872-203-9114 immediately with code WIN2115 to claim.",Lottery / Prize Fraud,1,0.902,HIGH
Package Delivery Failed: USPS tracking #US69380394P is held at terminal due to unpaid duty fees of $2.30. Pay at http://claim-crypto-giveaway.net.,Delivery Phishing,1,0.923,CRITICAL
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 9437.,Legitimate Work,0,0.272,LOW
"Congratulations! You've been whitelisted for the Exclusive Ripple Airdrop. Claim your free $5,000 token grant at http://usps-delivery-portal.cc.",Crypto Investment Scam,1,0.901,HIGH
IRS / Tax Notice: A federal warrant is issued for tax evasion. Call +1-815-461-1341 immediately or law enforcement will be dispatched.,Impersonation / Extortion,1,0.844,HIGH
Your order #ORD-900438 has been shipped via FedEx. Expected delivery is Friday by 5:00 PM. Track at official app.,Legitimate E-commerce,0,0.255,LOW
Immediate hiring for Amazon Product Reviewer. Daily payout $500. Message Telegram @CryptoProf_653 for instant onboarding.,Fake Job Offer,1,0.885,HIGH
"Hey, are we still meeting for lunch at the cafeteria around 1:00 PM today?",Legitimate Personal,0,0.179,LOW
Part-time Online Job Offer: Earn $300-$800 daily by rating hotels/apps on your phone for 1 hour. No experience required. WhatsApp: +1-459-905-4683,Fake Job Offer,1,0.981,HIGH
"ALERT: An unauthorized transaction of $4124 was attempted on your account. If this was not you, cancel it now at https://bank-security-center.ru.",Banking Phishing,1,0.874,CRITICAL
"Reminder: Your dentist appointment with Dr. Smith is scheduled for tomorrow at 2:30 PM. Reply 1 to confirm, 2 to reschedule.",Legitimate Service,0,0.141,LOW
"Hi team, please find the quarterly performance slide deck attached for tomorrow's review meeting.",Legitimate Business,0,0.223,LOW
"Dear Customer, Your debit card ending in 2754 is locked. Click https://login-update-online-service.top to update KYC within 24 hours.",Banking Phishing,1,0.951,CRITICAL
Your monthly bank statement for account ending in 8947 is now ready to view in the official mobile banking app.,Legitimate Banking,0,0.278,LOW
"Congratulations! You've been whitelisted for the Exclusive Bitcoin Airdrop. Claim your free $5,000 token grant at https://login-update-online-service.top.",Crypto Investment Scam,1,0.859,HIGH
Here is the updated recipe for the chocolate cake we discussed last weekend. Let me know if you need vanilla extract.,Legitimate Personal,0,0.332,LOW
IRS / Tax Notice: A federal warrant is issued for tax evasion. Call +1-545-232-7537 immediately or law enforcement will be dispatched.,Impersonation / Extortion,1,0.784,CRITICAL
Package Delivery Failed: USPS tracking #US77395720P is held at terminal due to unpaid duty fees of $2.30. Pay at http://claim-crypto-giveaway.net.,Delivery Phishing,1,0.776,CRITICAL
"Hi team, please find the quarterly performance slide deck attached for tomorrow's review meeting.",Legitimate Business,0,0.112,LOW
IRS / Tax Notice: A federal warrant is issued for tax evasion. Call +1-538-383-6118 immediately or law enforcement will be dispatched.,Impersonation / Extortion,1,0.986,HIGH
"WINNER! You have won the Singapore Mega Millions International Draw of $1,000,000! Call +1-475-863-5028 immediately with code WIN4361 to claim.",Lottery / Prize Fraud,1,0.863,HIGH
Immediate hiring for Amazon Product Reviewer. Daily payout $500. Message Telegram @CryptoProf_390 for instant onboarding.,Fake Job Offer,1,0.934,CRITICAL
IRS / Tax Notice: A federal warrant is issued for tax evasion. Call +1-639-998-8228 immediately or law enforcement will be dispatched.,Impersonation / Extortion,1,0.791,HIGH
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 1928.,Legitimate Work,0,0.147,LOW
"Walmart Reward: You have a pending voucher worth $1,000. Complete this short survey at https://login-update-online-service.top before expiration.",Lottery / Prize Fraud,1,0.803,HIGH
"Hey, are we still meeting for lunch at the cafeteria around 1:00 PM today?",Legitimate Personal,0,0.188,LOW
Package Delivery Failed: USPS tracking #US42258591P is held at terminal due to unpaid duty fees of $2.30. Pay at http://kyc-urgent-support.info.,Delivery Phishing,1,0.792,HIGH
IRS / Tax Notice: A federal warrant is issued for tax evasion. Call +1-706-828-9588 immediately or law enforcement will be dispatched.,Impersonation / Extortion,1,0.868,CRITICAL
Your verification code for Microsoft is 572059. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.332,LOW
"Hey, are we still meeting for lunch at the cafeteria around 1:00 PM today?",Legitimate Personal,0,0.316,LOW
Your order #ORD-273327 has been shipped via FedEx. Expected delivery is Friday by 5:00 PM. Track at official app.,Legitimate E-commerce,0,0.28,LOW
"ALERT: An unauthorized transaction of $7854 was attempted on your account. If this was not you, cancel it now at https://login-update-online-service.top.",Banking Phishing,1,0.873,HIGH
Tesla & Elon Musk 100M Crypto Giveaway! Send 0.1 BTC to receive 0.5 BTC back immediately: http://claim-crypto-giveaway.net,Crypto Investment Scam,1,0.931,CRITICAL
"WINNER! You have won the Nigeria Mega Millions International Draw of $7,000,000! Call +1-812-205-8505 immediately with code WIN6679 to claim.",Lottery / Prize Fraud,1,0.795,HIGH
"ALERT: An unauthorized transaction of $2972 was attempted on your account. If this was not you, cancel it now at https://login-update-online-service.top.",Banking Phishing,1,0.966,HIGH
Your order #ORD-666746 has been shipped via FedEx. Expected delivery is Friday by 5:00 PM. Track at official app.,Legitimate E-commerce,0,0.236,LOW
Guaranteed 450% return in 48 hours! Join our automated crypto arbitrage pool today. Send 3.59 ETH to 0x443bf79 and start earning.,Crypto Investment Scam,1,0.902,HIGH
"Hey, are we still meeting for lunch at the cafeteria around 1:00 PM today?",Legitimate Personal,0,0.23,LOW
"Hey, are we still meeting for lunch at the cafeteria around 1:00 PM today?",Legitimate Personal,0,0.317,LOW
Tesla & Elon Musk 100M Crypto Giveaway! Send 0.1 BTC to receive 0.5 BTC back immediately: http://usps-delivery-portal.cc,Crypto Investment Scam,1,0.831,HIGH
Tesla & Elon Musk 100M Crypto Giveaway! Send 0.1 BTC to receive 0.5 BTC back immediately: http://claim-crypto-giveaway.net,Crypto Investment Scam,1,0.906,CRITICAL
"Dear Customer, Your debit card ending in 6880 is locked. Click http://usps-delivery-portal.cc to update KYC within 24 hours.",Banking Phishing,1,0.792,HIGH
"ALERT: An unauthorized transaction of $3107 was attempted on your account. If this was not you, cancel it now at https://login-update-online-service.top.",Banking Phishing,1,0.85,HIGH
Your verification code for Microsoft is 124142. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.315,LOW
"Hi team, please find the quarterly performance slide deck attached for tomorrow's review meeting.",Legitimate Business,0,0.141,LOW
Immediate hiring for Amazon Product Reviewer. Daily payout $500. Message Telegram @CryptoProf_188 for instant onboarding.,Fake Job Offer,1,0.939,HIGH
"Congratulations! You've been whitelisted for the Exclusive Solana Airdrop. Claim your free $5,000 token grant at http://claim-crypto-giveaway.net.",Crypto Investment Scam,1,0.965,HIGH
"ALERT: An unauthorized transaction of $1701 was attempted on your account. If this was not you, cancel it now at http://claim-crypto-giveaway.net.",Banking Phishing,1,0.843,CRITICAL
URGENT: Your Bank of America account has been suspended due to suspicious activity. Verify immediately at http://kyc-urgent-support.info to avoid permanent deactivation.,Banking Phishing,1,0.989,HIGH
"Reminder: Your dentist appointment with Dr. Smith is scheduled for tomorrow at 2:30 PM. Reply 1 to confirm, 2 to reschedule.",Legitimate Service,0,0.201,LOW
"WINNER! You have won the Singapore Mega Millions International Draw of $11,000,000! Call +1-492-718-3293 immediately with code WIN3192 to claim.",Lottery / Prize Fraud,1,0.893,HIGH
Part-time Online Job Offer: Earn $300-$800 daily by rating hotels/apps on your phone for 1 hour. No experience required. WhatsApp: +1-713-445-7998,Fake Job Offer,1,0.853,HIGH
Package Delivery Failed: USPS tracking #US49565645P is held at terminal due to unpaid duty fees of $2.30. Pay at https://bank-security-center.ru.,Delivery Phishing,1,0.962,CRITICAL
Your verification code for Apple ID is 855958. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.288,LOW
IRS / Tax Notice: A federal warrant is issued for tax evasion. Call +1-660-823-6116 immediately or law enforcement will be dispatched.,Impersonation / Extortion,1,0.791,CRITICAL
"Hi team, please find the quarterly performance slide deck attached for tomorrow's review meeting.",Legitimate Business,0,0.077,LOW
Your verification code for Apple ID is 774606. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.304,LOW
This is the Chief Financial Officer. I am in an urgent meeting and need you to purchase 5x $100 Apple Gift Cards and email the codes.,Executive Impersonation,1,0.781,HIGH
GitHub: A new security advisory was published for your repository. Check security tab for details.,Legitimate Notification,0,0.345,LOW
